,video_id,video_title,upload_date,view_count,like_count,comment_count
0,SaNCeXsOGEg,This stock has doubled EVERY 4 years. Should you invest?,2022-06-08,100796,5508,1679
1,TQWh4G72J64,We followed these 3 SECRET STRATEGIES to become Wealthy/Rich in India | Akshat Shrivastava English,2022-06-06,239712,11436,1678
2,DTDUqTMGixY,Explainer: The US Dollar will be replaced by this currency  Impact on India,2022-06-04,201316,10504,1657
3,eV_N9cuW-j4,Why RICH PEOPLE are buying and selling these stocks? | Buffett invests 20Bn$ #Investing,2022-06-03,131894,4691,897
4,bdE9ReusC1k,"3 Amazing ASSETS to OWN! [And yes, Cash is Trash!] | Akshat Shrivastava English",2022-06-02,193152,13055,1577
5,g5pV1X0Ej08,Buy STOCKS or WAIT? [Buffett invests $20 BN....] | Economic Analysis of 2022 Markets,2022-05-31,275680,22893,1540
6,NHR2rbwihe0,Adani Invested in this MultiBagger Industry | Should you invest too? | Industry Analysis  Stocks,2022-05-30,137397,6298,1041
7,uRhc7RdLQsw,Your taxes will increase NOW! | Akshat Shrivastava,2022-05-29,120306,5284,1004
8,QUNFu3yu3Xs,India getting BANKRUPT? due to decline in FOREX | Falling forex reserves of India,2022-05-28,124322,4492,958
9,6EhwY1xf6fw,Time to sell? #steelstocks,2022-05-27,145790,4870,1089
10,SJEn9QAtpsU,I wish I had done these 5 things differently...,2022-05-26,97622,3991,490
11,nb5Z5OgyQn0,How to save your portfolio? | Understand the difference between hard and soft assets,2022-05-25,157673,12080,1218
12,oe3dQ96eme4,I&#39;m buying this Tech stock :),2022-05-24,236084,6983,1254
13,pQV1IDHDvn0,BEST Courses to MAKE MORE MONEY? | Akshat Shrivastava,2022-05-23,111372,4676,938
14,Xt-jFF6dlgk,"One of the best stocks to buy RIGHT NOW | Complete Fundamental, Business and Technical Analysis",2022-05-22,440299,14041,2978
15,L_LPi-ZJnMI,YouTube income with 1 MILLION subscribers | Should you start a YOUTUBE channel?,2022-05-21,167128,8193,1955
16,xchWpIRpCwk,FD returns are REALLY Bad! Where to invest NOW? | 5 low risk investment option,2022-05-19,166946,5697,1346
17,7eKnAd7FYy8,Stocks will fall more?,2022-05-18,243182,8154,1325
18,HsXy7QSqVLU,My loss making stocks :(,2022-05-17,283772,11854,2179
19,gt78MxdekZ4,REAL reason why you are getting POORER? [And How to Avoid this situation],2022-05-16,228033,15229,4047
20,A1ebGGU5i5I,Where to invest in HIGH INFLATION? (3 Key Stocks!),2022-05-15,219118,7211,1257
21,x5_-8g03Vg4,97% Crash -- End of Cryptos? Terra Luna Crash #terraluna,2022-05-13,264889,7240,1613
22,KuueAGPz-OY,How to 2X your money?,2022-05-12,197328,8626,1419
23,669k3HyyEWU,By what AGE should you become a CROREPATI? [Must know Key Investment Milestones by age],2022-05-11,179935,7898,1020
24,m7UTsqU89gY,Bitcoin will go to 0 or $1 MILLION?,2022-05-10,175084,5546,2102
25,DhqkSrSRk6I,Invest or Exit? [A discussion on 2022 Recession],2022-05-09,559334,15862,2070
26,2zFyxpDUoR8,How Indians can earn in US Dollars [5 ways!],2022-05-08,263093,8486,1257
