,video_id,video_title,upload_date,view_count,like_count,comment_count
0,wCpOnFOvi6g,SELECTING 8 INDIAN STOCKS using THE INTELLIGENT INVESTOR! | Book Review | Warikoo Hindi,2022-06-07,99631,5005,729
1,gdvnx3evcwA,BUILDING MULTIPLE INCOME STREAMS?! | Money talks with @Akshat Shrivastava | Warikoo Hindi,2022-06-04,150121,6121,1085
2,udsm9adINcw,Investing in a BEAR MARKET IN THE US? | US Stock Market Investing | Warikoo Hindi,2022-06-02,110976,4063,742
3,xjqMK3hryz0,VOLATILE MARKETS - WHERE SHOULD YOU INVEST? | Investing For Beginners 2022 | Warikoo Hindi,2022-05-31,164465,7406,1028
4,13nhoS_XYfg,Money YOU NEED for a LIFETIME! | Financial Planning for EVERYONE! | Ankur Warikoo Hindi,2022-05-28,270522,11407,1824
5,yvBWBArAKeM,METAVERSE EXPLAINED in 15 MINUTES! | Web3 For Beginners | Ankur Warikoo Hindi,2022-05-26,124588,4969,586
6,dIShRJaRHGM,20 MUST READ BOOKS FOR YOUR 20s! | GIVING AWAY UNLIMITED BOOKS! | Warikoo Books Hindi,2022-05-24,165992,13465,10361
7,sXuX99BndMg,Lab Assistant to the CEO of Edelweiss at 32! | Money Talks with Radhika Gupta! | Warikoo Hindi,2022-05-21,105330,3205,381
8,opRm8sr_2Qg,10 SKILLS - EARN 1 LAC/MONTH! | Top Online Courses 2022 | Ankur Warikoo Hindi,2022-05-19,275399,17793,1114
9,ePMsEiaRFFY,REIT - UPTO 23.5% ANNUAL RETURNS! | Real Estate Investing EXPLAINED! | Ankur Warikoo Hindi,2022-05-17,364063,16327,1622
10,_4NkigvjnZc,MARKETS CRASHING! - WHAT SHOULD YOU DO?! | Investing Strategy 2022 | Ankur Warikoo Hindi,2022-05-14,181985,7143,1052
11,SZVt3z3xbTg,ALL ABOUT MAKING MONEY WITH @Ishan Sharma! | Ankur Warikoo Hindi,2022-05-12,290771,12520,721
12,vB1SU3XTd1I,The Courage to be Disliked - BOOK REVIEW IN 10 MINUTES! | Ankur Warikoo Hindi,2022-05-10,106587,6579,677
13,jQSzZwsljG8,Things EVERYONE should know about MONEY! | Candid LESSONS with @Tanmay Bhat | Warikoo Hindi,2022-05-07,295423,14075,946
14,RqwV6VOw2g8,Reduce CAPITAL GAIN TAX by 90%! | Tax Harvesting EXPLAINED! | Ankur Warikoo Hindi,2022-05-05,145573,7094,1215
15,wNkR2V5pSeY,The BEST INVESTMENT portfolio for YOUR AGE! | Investing for Beginners | Ankur Warikoo Hindi,2022-05-03,178534,8375,790
16,bzrLak6iw20,Get OUT of LOAN and DEBT! | Repay Loans quickly 2022! | Ankur Warikoo Hindi,2022-04-30,127521,5373,608
17,9lVjGhIr9p8,Career Change - 5 STEP FRAMEWORK! | Switching Jobs | Ankur Warikoo Hindi,2022-04-28,123418,4996,418
18,01GRBpGBKCw,COMPLETE GUIDE to US Stock Market Investing! | Ankur Warikoo Hindi,2022-04-26,130146,5679,1197
19,dRnABh-rjwQ,BUYING a Car - are you LOSING MONEY? | Ankur Warikoo Hindi,2022-04-23,369215,16171,4485
